"","Name","Database_ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Direction"
"3721","LARP1","ENSP00000336721.4",0.210725716261611,-0.0383506802138341,3.24525848301458,0.00157363757699565,0.00409415756858058,-2.01276405065059,"up"
"3722","TBC1D22A","ENSP00000336724.4",0.11665942712328,0.0733502140548966,1.66282085950053,0.0993233322290087,0.153021360175751,-5.67207368270884,"up"
"3723","LIMK1","ENSP00000336740.2",0.0191172287057085,0.107904738247079,0.215405588999444,0.829868117472427,0.872471119211272,-7.01592416618941,"up"
"3724","DHX15","ENSP00000336741.4",0.393968946172985,0.0663449608164142,7.40086171619146,3.46236372354782e-11,6.4104053939756e-10,15.0113859426908,"up"
"3725","HIP1","ENSP00000336747.6",0.0543240075512368,0.186809558762045,0.687631544868151,0.493197335276097,0.581448137797483,-6.80283106380996,"up"
"3726","SCAI","ENSP00000336756.6",-0.172349728325766,0.110549380431718,-2.17162688070576,0.0321292964896021,0.0574001372629105,-4.72849913102733,"down"
"3727","ANG","ENSP00000336762.6",-0.626519868171906,-0.0510085929228284,-4.28411765562417,4.07029897128759e-05,0.000160917033818316,1.43020623627677,"down"
"3728","SYNM","ENSP00000336775.7",-2.88391364854608,-0.597317928546512,-15.6781867736212,2.75418779964391e-29,8.77071104796603e-26,56.0163824398197,"down"
"3729","SLK","ENSP00000336824.4",-0.363007552086881,0.156251900224138,-4.96860900310721,2.62292579549679e-06,1.34287897037935e-05,4.06116027334443,"down"
"3730","FGG","ENSP00000336829.3",-0.99940929984643,-0.0764383406137994,-3.83323383738561,0.000215649161921875,0.000710170378635171,-0.152618662807702,"down"
"3731","PLS1","ENSP00000336831.3",0.481390427538863,0.00932814324599938,2.82840823920288,0.00560228394012566,0.0125284221961588,-3.17778193669549,"up"
"3732","ACTR8","ENSP00000336842.3",0.221602597031512,0.206664659037913,2.56234796246601,0.0118119823025282,0.0240583675359137,-3.84940687949131,"up"
"3733","HMG20A","ENSP00000336856.4",0.301729659485825,-0.0201083507937438,4.19857972311263,5.63286605468148e-05,0.000215211301153367,1.12049247188062,"up"
"3734","RBBP9","ENSP00000336866.4",0.115689624369736,0.187330274840689,1.01846989344517,0.310791230537265,0.398516075557044,-6.52210207840706,"up"
"3735","SLC44A2","ENSP00000336888.4",-0.0816887759954009,0.361924819250094,-0.536382431368068,0.592826704252842,0.674957683122337,-6.89523488310143,"down"
"3736","NAB1","ENSP00000336894.5",-0.0040790051192542,-0.115123692152566,-0.0398482515596534,0.968289632881457,0.97718850765679,-7.03836735230486,"down"
"3737","ARHGAP10","ENSP00000336923.3",-0.878021195657813,0.253801780799485,-8.28207103034929,4.15071605856801e-13,1.39872542735554e-11,19.3567927500592,"down"
"3738","CPNE1","ENSP00000336945.4",-0.0733167044747655,-0.104124209865575,-0.420432530158916,0.675027060825069,0.745327736685632,-6.95068814321708,"down"
"3739","CLPTM1","ENSP00000336994.4",-0.0463606829590185,0.15149127748074,-0.646363827551162,0.519450609835369,0.607376709021749,-6.83029163163228,"down"
"3740","ZNF644","ENSP00000337008.5",-0.0682968970737547,-0.118848689283139,-0.515623029582803,0.607199646762365,0.688123585450089,-6.90614618744974,"down"
"3741","TNNI1","ENSP00000337022.4",-0.959888529628231,-3.07849704166392,-3.13466378293577,0.00223019211963428,0.00559436534460447,-2.33491204196665,"down"
"3742","C5orf24","ENSP00000337044.4",-0.0714572806822676,0.106316374932434,-0.633949788140074,0.527489619780856,0.614183069174456,-6.83822166950501,"down"
"3743","SEL1L","ENSP00000337053.4",0.196504249052809,0.174938771399085,2.78941459103579,0.00626896543159409,0.0138493194103308,-3.27975266827366,"up"
"3744","ZFYVE16","ENSP00000337159.5",-0.210674070586137,0.0481260262131132,-3.05081189518116,0.00288827270654043,0.00701579285581846,-2.57283659908305,"down"
"3745","EPB41L1","ENSP00000337168.2",-0.14439733014039,-0.0234388050945799,-0.721642932105751,0.47211491721593,0.561407749766292,-6.77893270943327,"down"
"3746","PRPF4B","ENSP00000337194.6",0.605606508900978,0.0564474595497431,7.21490735316922,8.67298123821588e-11,1.4593638754522e-09,14.1109428772755,"up"
"3747","MED19","ENSP00000337340.4",0.306048890935751,-0.101549040276329,2.60411777506213,0.0105426680641262,0.0217442528822603,-3.74780726776416,"up"
"3748","LIPA","ENSP00000337354.5",0.170938883427602,0.212188974870011,1.44080846360234,0.152608567805506,0.22020026469263,-6.00943187505269,"up"
"3749","ZFP36L1","ENSP00000337386.3",0.0236572168685971,-0.207456429563717,0.200358716527581,0.841586864348155,0.882025133953168,-7.01905675203288,"up"
"3750","NXN","ENSP00000337443.3",-0.000242381650981741,0.0843466273756236,-0.00239106822694949,0.998096733669959,0.998880907722183,-7.03915993085144,"down"
"3751","ELAC2","ENSP00000337445.4",0.231095041225516,-0.00103321687065409,2.61758526042782,0.0101602173713802,0.0210577365565637,-3.71472880214835,"up"
"3752","STARD3","ENSP00000337446.5",-0.0124213264552057,0.134816711198826,-0.130847586246755,0.896145771153141,0.925348965057451,-7.030586703071,"down"
"3753","AGPAT1","ENSP00000337463.6",-0.0894401553598388,0.132063486188551,-1.16601130190314,0.246245133205432,0.328506020275818,-6.36247872588435,"down"
"3754","SINHCAF","ENSP00000337477.4",0.19320171703562,-0.241514790954168,1.48595008678273,0.140283054255668,0.205157927107773,-5.94457780501897,"up"
"3755","SRA1","ENSP00000337513.5",-0.137074992057488,-0.180367367819585,-1.26749034600785,0.207778437239593,0.285264252377445,-6.24050117548487,"down"
"3756","WASHC2C","ENSP00000337541.5",0.464806196311516,-0.282967787740397,4.57406892332605,1.31209900494095e-05,5.79927728138024e-05,2.51298092336613,"up"
"3757","SLC43A3","ENSP00000337561.1",-0.0148201042143313,0.0451768803502306,-0.0922762927887217,0.926654016700346,0.946919101986815,-7.03489743024924,"down"
"3758","RNASEH2B","ENSP00000337623.2",0.149977065480606,0.199791147032148,1.45433200798508,0.148831379912131,0.215482395694558,-5.99020437412162,"up"
"3759","PPP2R5E","ENSP00000337641.3",0.00616116285773646,0.0974729895123322,0.0809063300442289,0.935670082386579,0.953107799892028,-7.03588378477009,"up"
"3760","EBAG9","ENSP00000337675.5",0.530758488611336,0.10031110827003,4.62480246269686,1.07145019661991e-05,4.82948782892583e-05,2.70733260636126,"up"
"3761","SEC62","ENSP00000337688.4",0.329643217362332,0.23007933086135,4.31340530333562,3.63647507403684e-05,0.000146308968708406,1.53767783512805,"up"
"3762","PNPLA2","ENSP00000337701.4",-0.586908636782726,-0.00399882849410491,-3.99107361842834,0.000121926045251329,0.000427613976985527,0.386857745400259,"down"
"3763","ARL6","ENSP00000337722.2",-0.0750347759528954,0.0251882223073411,-0.755932265618171,0.451379164281703,0.541910253969871,-6.75368414799622,"down"
"3764","ISYNA1","ENSP00000337746.7",0.195273708515158,-0.210588217313874,1.42912031929094,0.155932359588758,0.224284823446432,-6.02591075287293,"up"
"3765","RAB27A","ENSP00000337761.1",-0.373919601950287,0.227149939222085,-2.87515957129703,0.00488823003731589,0.0111388683748354,-3.05386229879337,"down"
"3766","TRAF6","ENSP00000337853.5",-0.139695217215759,0.150187410012293,-2.20751815572797,0.0294484131779455,0.0532680896138412,-4.65321907542331,"down"
"3767","MPP7","ENSP00000337907.5",0.199203415091691,-0.116466014439321,1.56476144009569,0.120642092359644,0.180920528900064,-5.82676176002347,"up"
"3768","SUGP2","ENSP00000337926.5",0.372584853287739,0.060364416363264,4.02357812678416,0.000108218439816478,0.00038548279820534,0.499947967492958,"up"
